Pavarde                       Vardas                        Galutinis (Med.)
Pavarde6245                   Vardas6245                    8.00 
Pavarde6246                   Vardas6246                    3.00 
Pavarde6247                   Vardas6247                    6.00 
Pavarde6248                   Vardas6248                    7.00 
Pavarde6249                   Vardas6249                    8.00 
Pavarde625                    Vardas625                     5.00 
Pavarde6250                   Vardas6250                    7.00 
Pavarde6251                   Vardas6251                    5.00 
Pavarde6252                   Vardas6252                    3.00 
Pavarde6253                   Vardas6253                    6.00 
Pavarde6254                   Vardas6254                    6.00 
Pavarde6255                   Vardas6255                    6.00 
Pavarde6256                   Vardas6256                    7.00 
Pavarde6257                   Vardas6257                    4.00 
Pavarde6258                   Vardas6258                    7.00 
Pavarde6259                   Vardas6259                    6.00 
Pavarde626                    Vardas626                     5.00 
Pavarde6260                   Vardas6260                    7.00 
Pavarde6261                   Vardas6261                    7.00 
Pavarde6262                   Vardas6262                    8.00 
Pavarde6263                   Vardas6263                    6.00 
Pavarde6264                   Vardas6264                    7.00 
Pavarde6265                   Vardas6265                    8.00 
Pavarde6266                   Vardas6266                    5.00 
Pavarde6267                   Vardas6267                    4.00 
Pavarde6268                   Vardas6268                    5.00 
Pavarde6269                   Vardas6269                    7.00 
Pavarde627                    Vardas627                     5.00 
Pavarde6270                   Vardas6270                    4.00 
Pavarde6271                   Vardas6271                    5.00 
Pavarde6272                   Vardas6272                    6.00 
Pavarde6273                   Vardas6273                    5.00 
Pavarde6274                   Vardas6274                    5.00 
Pavarde6275                   Vardas6275                    4.00 
Pavarde6276                   Vardas6276                    5.00 
Pavarde6277                   Vardas6277                    5.00 
Pavarde6278                   Vardas6278                    4.00 
Pavarde6279                   Vardas6279                    5.00 
Pavarde628                    Vardas628                     6.00 
Pavarde6280                   Vardas6280                    6.00 
Pavarde6281                   Vardas6281                    5.00 
